raw_row_id,office_id,office_name,office_street_address,office_city,office_state,office_zip_code,office_phone_number,empl_id,employee_first_name,employee_last_name,employee_job_title,employment_type,hire_date,employee_email,employee_phone_number,license_id,license_eff_date,license_exp_date,license_state,client_id,client_first_name,client_last_name,client_corp_name,client_tax_id,client_phone_number,client_email,client_type,client_req_id,req_state,req_city,req_zip_code,req_property_type_id,req_property_type_name,req_bedrooms,req_bathrooms,amenity_id,amenity_name,unit_id,property_zip_code,unit_number,building_number,property_street,property_city,property_state,property_county,property_type_id,property_type_name,listing_id,listing_price,listing_status,appointment_id,appointment_date,appointment_time,appointment_notes,appointment_status,transaction_id,transaction_amount,transaction_commission,transaction_date,transaction_type,client_role,open_house_id,open_house_date,open_house_time,neighborhood_zip_code,neighborhood_name,school_id,school_name,school_street,school_city,school_state,school_county,school_zip_code,station_id,transit_type
11,8,Stamford Office,300 Atlantic St,Stamford,CT,6901,2035551818,47,Jaylah,Hodges,Agent,PT,12/14/23,jaylahhodges@dreamhomesnyc.com,2035550047,1047,12/14/23,12/14/25,CT,126,Noah,Kim,,,5552260126,noah.kim126@email.com,Individual,1010,CT,Stamford,7030,5,Co-op,1,2,6,Laundry,139,6901,27B,967,Broad St,Stamford,CT,Fairfield,5,Co-op,139,1207923,Withdrawn,11,4/12/26,12:00,First showing,Scheduled,11,1212057.32,28558.97,3/12/26,sale,buyer,,,,6901,Downtown Stamford,8,Stamford HS,55 Strawberry Hill Ave,Stamford,CT,Fairfield,6901,8,train
12,2,Jersey City Office,90 Hudson Street,Jersey City,NJ,7302,2015551212,11,Nayeli,Robertson,Agent,PT,12/23/22,nayelirobertson@dreamhomesnyc.com,2015550011,1011,12/23/22,12/23/24,NJ,170,,,Metro Holdings,91-1000170,5552700170,deals170@metroholdings,Corporation,1011,NJ,Jersey City,7302,5,Co-op,1,2,2,Pool,19,7302,9B,316,Marin Blvd,Jersey City,NJ,Hudson,5,Co-op,19,1478480,Pending,12,4/13/26,15:00,late showing,Completed,,,,,,,,,,7302,Downtown JC,2,PS 16,96 Sussex St,Jersey City,NJ,Hudson,7302,2,train
13,10,New Haven Office,275 Chapel St,new haven,CT,6510,2035552020,56,Pearl,Roberson,Senior Agent,FT,9/5/18,pearlroberson@dreamhomesnyc.com,2035550056,1056,9/5/18,9/5/20,CT,46,Miles,Cole,,,5551460046,miles.cole46@email.com,Individual,1012,CT,WHITE PLAINS,6510,5,Co-op,3,2,5,Doorman,177,6510,14A,795,Orange St,New Haven,CT,New Haven,5,Co-op,177,964923,Pending,13,4/14/26,13:30,price sensitive,Canceled,,,,,,,13,4/18/26,13:00,6510,Downtown New Haven,10,Hillhouse HS,480 Sherman Pkwy,New Haven,CT,New Haven,6510,10,train
14,10,New Haven Office,275 Chapel Street,New Haven,CT,6510,2035552020,57,Shepherd,Clark,Agent,FT,10/7/19,shepherdclark@dreamhomesnyc.com,2035550057,1057,10/7/19,10/7/21,CT,86,Ethan,Hall,,,5551860086,ethan.hall86@email.com,Individual,1013,CT,New Haven,6510,2,House,2,1,4,Elevator,172,6510,,499,Chapel St,New Haven,CT,New Haven,2,House,172,489613,Pending,,,,repeat row,,,,,,,,,,,6510,Downtown New Haven,10,Hillhouse HS,480 Sherman Pkwy,New Haven,CT,New Haven,6510,10,train
15,8,Stamford Office,300 Atlantic St,Stamford,CT,6901,2035551818,44,August,Walsh,Senior Agent,FT,9/8/20,augustwalsh@dreamhomesnyc.com,2035550044,1044,9/8/20,9/8/22,CT,123,Lina,Patel,,,5552230123,lina.patel123@email.com,Individual,1014,CT,Princeton,6901,4,Townhouse,1,2,3,Parking,140,6901,,182,Broad St,Stamford,CT,Fairfield,4,Townhouse,140,623170,Closed,15,4/16/26,13:30,price sensitive,Scheduled,,,,,,,,,,6901,Downtown Stamford,8,Stamford HS,55 Strawberry Hill Ave,Stamford,CT,Fairfield,6901,8,train
16,9,Greenwich Office,40 Field Point Rd,Greenwich,CT,6830,(203) 555-1919,52,Thalia,Sierra,Agent,FT,5/24/21,thaliasierra@dreamhomesnyc.com,203-555-0052,1052,5/24/21,5/24/23,CT,181,Jane,Reed,,,5552810181,jane.reed181@email.com,Individual,1015,CT,Montclair,10601,2,House,1,2,6,Laundry,153,6830,,458,Mason St,Greenwich,CT,Fairfield,2,House,153,2481214,Active,,,,,,,,,,,,,,,6830,Greenwich Ave,9,Greenwich High,10 Hillside Rd,Greenwich,CT,Fairfield,6830,9,bus
17,2,Jersey City Office,90 Hudson Street,Jersey City,NJ,7302,2015551212,10,Braden,Cross,Agent,FT,11/21/21,bradencross@dreamhomesnyc.com,2015550010,1010,11/21/21,11/21/23,NJ,147,Bella,Patel,,,5552470147,bella.patel147@email.com,Individual,1016,NJ,Jersey City,7302,1,Condo,1,2,1,Gym,25,7302,,735,Grand St,Jersey City,NJ,Hudson,1,Condo,25,1152248,Active,17,4/18/26,10:30,investor inquiry,Scheduled,,,,,,,17,4/22/26,14:00,7302,Downtown JC,2,PS 16,96 Sussex St,Jersey City,NJ,Hudson,7302,2,subway
18,10,New Haven Office,275 Chapel Street,New Haven,CT,6510,2035552020,57,Shepherd,Clark,Agent,FT,10/7/19,shepherdclark@dreamhomesnyc.com,2035550057,1057,10/7/19,10/7/21,CT,165,,,North Elm Partners,86-1000165,5552650165,deals165@northelmpartners.com,Corporation,1017,CT,New Haven,11201,2,House,1,2,5,Doorman,170,6510,11B,715,Chapel St,New Haven,CT,New Haven,2,House,170,1005993,Active,18,4/19/26,17:15,follow-up,Scheduled,,,,,,,,,,6510,Downtown New Haven,10,Hillhouse HS,480 Sherman Pkwy,New Haven,CT,New Haven,6510,10,train
19,8,Stamford Office,300 Atlantic St,Stamford,CT,6901,2035551818,46,Darius,Beasley,Agent,FT,11/12/22,dariusbeasley@dreamhomesnyc.com,2035550046,1046,11/12/22,11/12/24,CT,100,Ivy,Ng,,,5552000100,ivy.ng100@email.com,Individual,1018,NY,Stamford,6901,1,Condo,2,1,,,142,6901,,27,Broad St,Stamford,CT,Fairfield,1,Condo,142,1599715,Active,,,,,,,,,,,,,,,6901,Downtown Stamford,8,Stamford HS,55 Strawberry Hill Ave,Stamford,CT,Fairfield,6901,8,bus
20,2,Jersey City Office,90 Hudson St,Jersey City,NJ,7302,(201) 555-1212,10,Braden,Cross,Agent,FT,11/21/21,bradencross@dreamhomesnyc.com,201-555-0010,1010,11/21/21,11/21/23,NJ,45,Leah,Foster,,,5551450045,leah.foster45@email.com,Individual,1019,NJ,Princeton,7302,3,Apartment,4,2,5,Doorman,31,7302,18A,353,Grand St,Jersey City,NJ,Hudson,3,Apartment,31,6416,Active,20,4/21/26,17:15,follow-up,Scheduled,,,,,,,,,,7302,Downtown JC,2,PS 16,96 Sussex St,Jersey City,NJ,Hudson,7302,2,subway
21,8,Stamford Office,300 Atlantic St,Stamford,CT,6901,(203) 555-1818,47,Jaylah,Hodges,Agent,PT,12/14/23,jaylahhodges@dreamhomesnyc.com,203-555-0047,1047,12/14/23,12/14/25,CT,4,Chris,Ng,,,5551040004,chris.ng4@email.com,Individual,1020,CT,Stamford,7302,4,Townhouse,1,3,1,Gym,134,6901,,579,Summer St,Stamford,CT,Fairfield,4,Townhouse,134,812932,Active,21,4/22/26,9:00,investor inquiry,completed,,,,,,,,,,6901,Downtown Stamford,8,Stamford HS,55 Strawberry Hill Ave,Stamford,CT,Fairfield,6901,8,bus
22,10,New Haven Office,275 Chapel St,New Haven,CT,6510,2035552020,58,Chloe,Zimmerman,Agent,FT,11/9/20,chloezimmerman@dreamhomesnyc.com,2035550058,1058,11/9/20,11/9/22,CT,156,Noah,Flores,,,5552560156,noah.flores156@email.com,Individual,1021,CT,New Haven,6510,4,Townhouse,4,2,2,Pool,168,6510,,345,State St,New Haven,CT,New Haven,4,Townhouse,168,800513,Closed,22,4/23/26,13:30,investor inquiry,Canceled,22,811371.75,20100.04,3/23/26,sale,seller,,,,6510,Downtown New Haven,10,Hillhouse HS,480 Sherman Pkwy,New Haven,CT,New Haven,6510,10,train
23,4,Princeton Office,55 Nassau St,princeton,NJ,8542,6095551414,22,Trey,Kane,Agent,FT,11/18/19,treykane@dreamhomesnyc.com,6095550022,1022,11/18/19,11/18/21,NJ,191,Ryan,Price,,,5552910191,ryan.price191@email.com,Individual,1022,NJ,NEW YORK,6510,5,Co-op,1,2,,,59,8542,17B,156,Nassau St,Princeton,NJ,Mercer,5,Co-op,59,1403207,Active,23,4/24/26,12:00,First showing,completed,,,,,,,23,4/28/26,14:00,8542,Princeton Center,4,Princeton High,151 Moore St,Princeton,NJ,Mercer,8542,4,bus
24,3,Montclair Office,18 Bloomfield Ave,Montclair,NJ,7042,9735551313,15,Zaylee,Trejo,Agent,FT,4/4/19,zayleetrejo@dreamhomesnyc.com,9735550015,1015,4/4/19,4/4/21,NJ,52,Leo,Ng,,,5551520052,leo.ng52@email.com,Individual,1023,NJ,Montclair,7042,5,Co-op,1,2,,,45,7042,,399,Park St,Montclair,NJ,Essex,5,Co-op,45,1251194,Active,24,4/25/26,10:30,late showing,scheduled,,,,,,,,,,7042,Upper Montclair,3,Montclair High,100 Chestnut St,Montclair,NJ,Essex,7042,3,ferry
25,5,Chelsea Office,456 8th Ave,New York,NY,10001,2125551515,29,Reese,Chapman,Agent,PT,6/5/19,reesechapman@dreamhomesnyc.com,2125550029,1029,6/5/19,6/5/21,NY,67,Sophia,Bell,,,5551670067,sophia.bell67@email.com,Individual,1024,CT,New York,10001,4,Townhouse,3,1,,,89,10001,,635,W 26th St,New York,NY,New York,4,Townhouse,89,1970394,Closed,25,4/26/26,15:00,First showing,Scheduled,,,,,,,,,,10001,Chelsea,5,PS 33,281 9th Ave,New York,NY,New York,10001,5,ferry
26,4,Princeton Office,55 Nassau St,Princeton,NJ,8542,6095551414,23,Ellianna,Nixon,Agent,PT,12/20/20,elliannanixon@dreamhomesnyc.com,6095550023,1023,12/20/20,12/20/22,NJ,79,Ava,Allen,,,5551790079,ava.allen79@email.com,Individual,1025,CT,Princeton,8542,3,Apartment,2,2,,,58,8542,23B,825,Nassau St,Princeton,NJ,Mercer,3,Apartment,58,5733,Pending,26,4/27/26,15:00,follow-up,Scheduled,,,,,,,,,,8542,Princeton Center,4,Princeton High,151 Moore St,Princeton,NJ,Mercer,8542,4,ferry
27,8,Stamford Office,300 Atlantic St,stamford,CT,6901,2035551818,46,Darius,Beasley,Agent,FT,11/12/22,dariusbeasley@dreamhomesnyc.com,2035550046,1046,11/12/22,11/12/24,CT,156,Noah,Flores,,,5552560156,noah.flores156@email.com,Individual,1026,CT,STAMFORD,6901,3,Apartment,2,2,2,Pool,144,6901,32B,729,Atlantic St,Stamford,CT,Fairfield,1,Condo,144,1497196,Closed,27,4/28/26,10:30,First showing,completed,,,,,,,,,,6901,Downtown Stamford,8,Stamford HS,55 Strawberry Hill Ave,Stamford,CT,Fairfield,6901,8,bus
28,5,Chelsea Office,456 8th Ave,New York,NY,10001,2125551515,26,Beckett,Delgado,Senior Agent,FT,3/26/23,beckettdelgado@dreamhomesnyc.com,2125550026,1026,3/26/23,3/26/25,NY,108,Caleb,Flores,,,5552080108,caleb.flores108@email.com,Individual,1027,NY,New Haven,6510,3,Apartment,4,1,,,76,10001,14B,103,W 28th St,New York,NY,New York,1,Condo,76,1310301,Active,28,4/29/26,12:00,price sensitive,completed,28,1243192.99,29164.79,3/29/26,sale,seller,,,,10001,Chelsea,5,PS 33,281 9th Ave,New York,NY,New York,10001,5,ferry
29,10,New Haven Office,275 Chapel St,New Haven,CT,6510,2035552020,60,Jasmine,Nava,Transaction Coordinator,FT,1/13/22,jasminenava@dreamhomesnyc.com,2035550060,,,,,23,Hannah,Price,,,5551230023,hannah.price23@email.com,Individual,1028,CT,New Haven,10601,3,Apartment,2,2,1,Gym,175,6510,,312,State St,New Haven,CT,New Haven,4,Townhouse,175,362653,Withdrawn,,,,,,,,,,,,,,,6510,Downtown New Haven,10,Hillhouse HS,480 Sherman Pkwy,New Haven,CT,New Haven,6510,10,train
30,3,Montclair Office,18 Bloomfield Ave,MONTCLAIR,NJ,7042,9735551313,17,Charley,Houston,Agent,PT,6/8/21,charleyhouston@dreamhomesnyc.com,9735550017,1017,6/8/21,6/8/23,NJ,175,Priya,Allen,,,5552750175,priya.allen175@email.com,Individual,1029,NJ,MONTCLAIR,7042,2,House,1,2,4,Elevator,50,7042,,720,Park St,Montclair,NJ,Essex,4,Townhouse,50,638479,Closed,30,5/1/26,17:15,price sensitive,Scheduled,,,,,,,,,,7042,Upper Montclair,3,Montclair High,100 Chestnut St,Montclair,NJ,Essex,7042,3,ferry
31,1,Hoboken Office,123 River St,Hoboken,NJ,7030,2015551111,2,Bronson,McCullough,Senior Agent,FT,3/5/20,bronsonmccullough@dreamhomesnyc.com,2015550002,1002,3/5/20,3/5/22,NJ,54,Jason,Kim,,,5551540054,jason.kim54@email.com,Individual,1030,NJ,Hoboken,7030,1,Condo,1,3,4,Elevator,2,7030,35B,213,Washington St,Hoboken,NJ,Hudson,5,Co-op,2,1121029,Withdrawn,31,5/2/26,9:00,family interested in schools,Canceled,,,,,,,,,,7030,Hoboken,1,Hoboken High,800 Clinton St,Hoboken,NJ,Hudson,7030,1,subway
32,1,Hoboken Office,123 River St,Hoboken,NJ,7030,(201) 555-1111,4,Arturo,Russell,Agent,FT,5/9/22,arturorussell@dreamhomesnyc.com,201-555-0004,1004,5/9/22,5/9/24,NJ,161,Ryan,Cooper,,,5552610161,ryan.cooper161@email.com,Individual,1031,NJ,Brooklyn,7030,2,House,3,3,3,Parking,5,7030,,483,Hudson St,Hoboken,NJ,Hudson,2,House,5,1367870,Closed,32,5/3/26,15:00,late showing,scheduled,,,,,,,,,,7030,Hoboken,1,Hoboken High,800 Clinton St,Hoboken,NJ,Hudson,7030,1,subway
33,6,Brooklyn Heights Office,200 Montague St,Brooklyn,NY,11201,7185551616,32,Titan,Griffin,Senior Agent,FT,9/11/22,titangriffin@dreamhomesnyc.com,7185550032,1032,9/11/22,9/11/24,NY,104,Tara,Chen,,,5552040104,tara.chen104@email.com,Individual,1032,NY,Brooklyn,8542,5,Co-op,3,1,4,Elevator,92,11201,,150,Montague St,Brooklyn,NY,Kings,2,House,92,1710478,Active,,,,,,33,1690167.8,38644.68,4/3/26,sale,buyer,,,,11201,Brooklyn Heights,6,Brooklyn Heights Prep,50 Court St,Brooklyn,NY,Kings,11201,6,ferry
34,10,New Haven Office,275 Chapel St,New Haven,CT,6510,(203) 555-2020,56,Pearl,Roberson,Senior Agent,FT,9/5/18,pearlroberson@dreamhomesnyc.com,203-555-0056,1056,9/5/18,9/5/20,CT,114,Jason,Ward,,,5552140114,jason.ward114@email.com,Individual,1033,CT,New Haven,6510,5,Co-op,4,1,3,Parking,177,6510,14A,795,Orange St,New Haven,CT,New Haven,5,Co-op,177,964923,Pending,34,5/5/26,17:15,price sensitive,scheduled,,,,,,,34,5/9/26,11:00,6510,Downtown New Haven,10,Hillhouse HS,480 Sherman Pkwy,New Haven,CT,New Haven,6510,10,train
35,2,Jersey City Office,90 Hudson St,Jersey City,NJ,7302,2015551212,8,Adler,Krueger,Senior Agent,FT,9/17/19,adlerkrueger@dreamhomesnyc.com,2015550008,1008,9/17/19,9/17/21,NJ,156,Noah,Flores,,,5552560156,noah.flores156@email.com,Individual,1034,NJ,Jersey City,7302,2,House,4,2,2,Pool,28,7302,,35,Grove St,Jersey City,NJ,Hudson,2,House,28,1591014,Active,35,5/6/26,13:30,late showing,Completed,35,1591725.15,46640.09,4/5/26,sale,seller,35,4/5/26,11:00,7302,Downtown JC,2,PS 16,96 Sussex St,Jersey City,NJ,Hudson,7302,2,ferry
36,2,Jersey City Office,90 Hudson St,JERSEY CITY,NJ,7302,2015551212,12,Emiliano,Durham,Transaction Coordinator,FT,1/25/23,emilianodurham@dreamhomesnyc.com,2015550012,,,,,60,John,Flores,,,5551600060,john.flores60@email.com,Individual,1035,NJ,NEW YORK,7302,4,Townhouse,1,1,4,Elevator,26,7302,,723,Grand St,Jersey City,NJ,Hudson,4,Townhouse,26,1397229,Active,36,5/7/26,9:00,First showing,Scheduled,,,,,,,,,,7302,Downtown JC,2,PS 16,96 Sussex St,Jersey City,NJ,Hudson,7302,2,subway
37,9,Greenwich Office,40 Field Point Rd,Greenwich,CT,6830,2035551919,51,Jakob,Calhoun,Agent,FT,4/22/20,jakobcalhoun@dreamhomesnyc.com,2035550051,1051,4/22/20,4/22/22,CT,188,Mia,Ross,,,5552880188,mia.ross188@email.com,Individual,1036,CT,Montclair,6830,5,Co-op,2,2,4,Elevator,160,6830,,126,Mason St,Greenwich,CT,Fairfield,5,Co-op,160,2213596,Active,37,5/8/26,10:30,follow-up,Completed,,,,,,,37,4/7/26,12:00,6830,Greenwich Ave,9,Greenwich High,10 Hillside Rd,Greenwich,CT,Fairfield,6830,9,train
38,9,Greenwich Office,40 Field Point Rd,Greenwich,CT,6830,2035551919,53,Dayton,Prince,Agent,PT,6/26/22,daytonprince@dreamhomesnyc.com,2035550053,1053,6/26/22,6/26/24,CT,146,Ethan,Lee,,,5552460146,ethan.lee146@email.com,Individual,1037,CT,Greenwich,6830,3,Apartment,1,1,4,Elevator,152,6830,,762,Putnam Ave,Greenwich,CT,Fairfield,3,Apartment,152,8184,Closed,38,5/9/26,12:00,late showing,Scheduled,,,,,,,,,,6830,Greenwich Ave,9,Greenwich High,10 Hillside Rd,Greenwich,CT,Fairfield,6830,9,train
39,10,New Haven Office,275 Chapel St,New Haven,CT,6510,2035552020,59,Sergio,Harrison,Agent,PT,12/11/21,sergioharrison@dreamhomesnyc.com,2035550059,1059,12/11/21,12/11/23,CT,134,Tara,Hall,,,5552340134,tara.hall134@email.com,Individual,1038,CT,New Haven,6510,4,Townhouse,2,2,5,Doorman,172,6510,,499,Chapel St,New Haven,CT,New Haven,2,House,172,489613,Pending,39,5/10/26,17:15,price sensitive,completed,,,,,,,,,,6510,Downtown New Haven,10,Hillhouse HS,480 Sherman Pkwy,New Haven,CT,New Haven,6510,10,train
40,2,Jersey City Office,90 Hudson St,Jersey City,NJ,7302,2015551212,9,Kamari,Leblanc,Agent,FT,10/19/20,kamarileblanc@dreamhomesnyc.com,2015550009,1009,10/19/20,10/19/22,NJ,62,Mark,Hall,,,5551620062,mark.hall62@email.com,Individual,1039,NJ,Jersey City,7302,3,Apartment,2,2,5,Doorman,20,7302,28B,937,Grove St,Jersey City,NJ,Hudson,3,Apartment,20,2679,Active,40,4/1/26,13:30,virtual tour,Canceled,40,2678.3,163.2,4/10/26,rental,owner,,,,7302,Downtown JC,2,PS 16,96 Sussex St,Jersey City,NJ,Hudson,7302,2,train
41,2,Jersey City Office,90 Hudson St,Jersey City,NJ,7302,2015551212,11,Nayeli,Robertson,Agent,PT,12/23/22,nayelirobertson@dreamhomesnyc.com,2015550011,1011,12/23/22,12/23/24,NJ,164,Tara,Ross,,,5552640164,tara.ross164@email.com,Individual,1040,NJ,Jersey City,7302,1,Condo,2,2,3,Parking,24,7302,38B,128,Grand St,Jersey City,NJ,Hudson,1,Condo,24,1325550,Closed,41,4/2/26,15:00,virtual tour,Canceled,,,,,,,41,4/11/26,12:00,7302,Downtown JC,2,PS 16,96 Sussex St,Jersey City,NJ,Hudson,7302,2,train
42,6,Brooklyn Heights Office,200 Montague Street,Brooklyn,NY,11201,7185551616,33,Charlie,Colon,Agent,FT,10/13/23,charliecolon@dreamhomesnyc.com,7185550033,1033,10/13/23,10/13/25,NY,141,Zoe,Foster,,,5552410141,zoe.foster141@email.com,Individual,1041,NY,Hoboken,6901,1,Condo,4,2,,,91,11201,15A,979,Montague St,Brooklyn,NY,Kings,1,Condo,91,1229849,Active,42,4/3/26,13:30,family interested in schools,Canceled,42,1201934.29,35396.6,4/12/26,sale,buyer,,,,11201,Brooklyn Heights,6,Brooklyn Heights Prep,50 Court St,Brooklyn,NY,Kings,11201,6,ferry
43,10,New Haven Office,275 Chapel St,New Haven,CT,6510,(203) 555-2020,59,Sergio,Harrison,Agent,PT,12/11/21,sergioharrison@dreamhomesnyc.com,203-555-0059,1059,12/11/21,12/11/23,CT,130,Ivy,Lopez,,,5552300130,ivy.lopez130@email.com,Individual,1042,CT,New Haven,6510,3,Apartment,2,3,2,Pool,169,6510,,858,Orange St,New Haven,CT,New Haven,3,Apartment,169,3894,Active,43,4/4/26,10:30,price sensitive,Scheduled,,,,,,,,,,6510,Downtown New Haven,10,Hillhouse HS,480 Sherman Pkwy,New Haven,CT,New Haven,6510,10,train
