raw_expense_row_id,invoice_number,expense_date,amount,notes,exp_category_id,expense_category,approver_empl_id,approver_first_name,approver_last_name,approver_job_title,approver_email,approver_phone_number,office_id,office_name,office_street_address,office_city,office_state,office_zip_code,office_phone_number
29,20029,2026-03-30,3177.11,Broker event promo,3,Marketing,38,Abner,Booth,Senior Agent,abnerbooth@dreamhomesnyc.com,9145550038,7,White Plains Office,10 Main St,White Plains,NY,10601,9145551717
30,20030,2026-03-31,598.23,Broker event promo,3,Marketing,11,Nayeli,Robertson,Agent,nayelirobertson@dreamhomesnyc.com,2015550011,2,Jersey City Office,90 Hudson St,JERSEY CITY,NJ,7302,2015551212
31,20031,2026-04-01,3579.39,Spring digital ads,3,Marketing,2,Bronson,McCullough,Senior Agent,bronsonmccullough@dreamhomesnyc.com,2015550002,1,Hoboken Office,123 River St,Hoboken,NJ,7030,2015551111
32,20032,2026-04-02,2131.11,Paint touch-up,2,Maintenance,59,Sergio,Harrison,Agent,sergioharrison@dreamhomesnyc.com,2035550059,10,New Haven Office,275 Chapel St,New Haven,CT,6510,203-555-2020
33,20033,2026-04-03,5993.81,Monthly branch rent,5,Rent,52,Thalia,Sierra,Agent,thaliasierra@dreamhomesnyc.com,203-555-0052,9,Greenwich Office,40 Field Point Rd,Greenwich,CT,6830,2035551919
34,20034,2026-04-04,1079.77,Window repair,2,Maintenance,15,Zaylee,Trejo,Agent,zayleetrejo@dreamhomesnyc.com,9735550015,3,Montclair Office,18 Bloomfield Ave,Montclair,NJ,7042,973-555-1313
35,20035,2026-04-05,2568.09,Neighborhood mailers,3,Marketing,23,Ellianna,Nixon,Agent,elliannanixon@dreamhomesnyc.com,609-555-0023,4,Princeton Office,55 Nassau St,PRINCETON,NJ,8542,6095551414
36,20036,2026-04-06,3345.47,HVAC tune up,2,Maintenance,59,Sergio,Harrison,Agent,sergioharrison@dreamhomesnyc.com,2035550059,10,New Haven Office,275 Chapel St.,New Haven,CT,6510,2035552020
37,20037,2026-04-07,2226.83,Neighborhood mailers,3,Marketing,2,Bronson,McCullough,Senior Agent,bronsonmccullough@dreamhomesnyc.com,2015550002,1,Hoboken Office,123 River St.,Hoboken,NJ,7030,2015551111
38,20038,2026-04-08,454.71,Water delivery,1,Utilities,52,Thalia,Sierra,Agent,thaliasierra@dreamhomesnyc.com,203-555-0052,9,Greenwich Office,40 Field Point Rd,Greenwich,CT,6830,2035551919
39,20039,2026-04-09,1097.93,Water delivery,1,Utilities,47,Jaylah,Hodges,Agent,jaylahhodges@dreamhomesnyc.com,2035550047,8,Stamford Office,300 Atlantic St,Stamford,CT,6901,203-555-1818
40,20040,2026-04-10,2057.5,Office snacks,1,Utilities,38,Abner,Booth,Senior Agent,abnerbooth@dreamhomesnyc.com,9145550038,7,White Plains Office,10 Main St,White Plains,NY,10601,914-555-1717
41,20041,2026-04-11,242.63,Paper order,4,Office Supplies,32,Titan,Griffin,Senior Agent,titangriffin@dreamhomesnyc.com,7185550032,6,Brooklyn Heights Office,200 Montague St,Brooklyn,NY,11201,7185551616
42,20042,2026-04-12,4317.66,Neighborhood mailers,3,Marketing,38,Abner,Booth,Senior Agent,abnerbooth@dreamhomesnyc.com,9145550038,7,White Plains Office,10 Main St,White Plains,NY,10601,9145551717
43,20043,2026-04-13,981.3,Carpet cleaning,2,Maintenance,23,Ellianna,Nixon,Agent,elliannanixon@dreamhomesnyc.com,609-555-0023,4,Princeton Office,55 Nassau St,Princeton,NJ,8542,6095551414
44,20044,2026-04-14,4667.74,Broker event promo,3,Marketing,38,Abner,Booth,Senior Agent,abnerbooth@dreamhomesnyc.com,9145550038,7,White Plains Office,10 Main St.,White Plains,NY,10601,9145551717
45,20045,2026-04-15,2586.24,Broker event promo,3,Marketing,15,Zaylee,Trejo,Agent,zayleetrejo@dreamhomesnyc.com,9735550015,3,Montclair Office,18 Bloomfield Ave,Montclair,NJ,7042,9735551313
46,20046,2026-04-16,1211.86,Paint touch-up,2,Maintenance,15,Zaylee,Trejo,Agent,zayleetrejo@dreamhomesnyc.com,9735550015,3,Montclair Office,18 Bloomfield Ave,Montclair,NJ,7042,9735551313
47,20047,2026-04-17,1010.62,Conference room cables,4,Office Supplies,52,Thalia,Sierra,Agent,thaliasierra@dreamhomesnyc.com,203-555-0052,9,Greenwich Office,40 Field Point Rd,Greenwich,CT,6830,203-555-1919
48,20048,2026-04-18,3230.56,Photography flyers,3,Marketing,47,Jaylah,Hodges,Agent,jaylahhodges@dreamhomesnyc.com,2035550047,8,Stamford Office,300 Atlantic St,Stamford,CT,6901,2035551818
49,20049,2026-04-19,1872.86,Spring digital ads,3,Marketing,32,Titan,Griffin,Senior Agent,titangriffin@dreamhomesnyc.com,7185550032,6,Brooklyn Heights Office,200 Montague St,Brooklyn,NY,11201,718-555-1616
50,20050,2026-03-01,3887.91,photography flyers,3,Marketing,59,Sergio,Harrison,Agent,sergioharrison@dreamhomesnyc.com,2035550059,10,NEW HAVEN OFFICE,275 Chapel St,New Haven,CT,6510,2035552020
51,20051,2026-03-02,762.61,Spring digital ads,3,Marketing,23,Ellianna,Nixon,Agent,elliannanixon@dreamhomesnyc.com,609-555-0023,4,Princeton Office,55 Nassau St,PRINCETON,NJ,8542,6095551414
52,20052,2026-03-03,1169.93,Light bulbs,2,Maintenance,32,Titan,Griffin,Senior Agent,titangriffin@dreamhomesnyc.com,7185550032,6,Brooklyn Heights Office,200 Montague St,Brooklyn,NY,11201,718-555-1616
53,20053,2026-03-04,1180.96,Printer toner,4,Office Supplies,29,Reese,Chapman,Agent,reesechapman@dreamhomesnyc.com,2125550029,5,Chelsea Office,456 8th Ave,New York,NY,10001,2125551515
54,20054,2026-03-05,1156.11,Broker event promo,3,Marketing,52,Thalia,Sierra,Agent,thaliasierra@dreamhomesnyc.com,203-555-0052,9,Greenwich Office,40 Field Point Rd,Greenwich,CT,6830,2035551919
55,20055,2026-03-06,354.67,Electric bill,1,Utilities,38,Abner,Booth,Senior Agent,abnerbooth@dreamhomesnyc.com,9145550038,7,White Plains Office,10 Main St,White Plains,NY,10601,9145551717
56,20056,2026-03-07,1183.49,Neighborhood mailers,3,Marketing,15,Zaylee,Trejo,Agent,zayleetrejo@dreamhomesnyc.com,9735550015,3,Montclair Office,18 Bloomfield Ave,Montclair,NJ,7042,9735551313
57,20057,2026-03-08,2614.09,Light bulbs,2,Maintenance,29,Reese,Chapman,Agent,reesechapman@dreamhomesnyc.com,2125550029,5,Chelsea Office,456 8th Ave,NEW YORK,NY,10001,2125551515
58,20058,2026-03-09,2513.98,Water delivery,1,Utilities,52,Thalia,Sierra,Agent,thaliasierra@dreamhomesnyc.com,203-555-0052,9,Greenwich Office,40 Field Point Rd,Greenwich,CT,6830,2035551919
59,20059,2026-03-10,1733.6,Carpet cleaning,2,Maintenance,47,Jaylah,Hodges,Agent,jaylahhodges@dreamhomesnyc.com,2035550047,8,Stamford Office,300 Atlantic St,STAMFORD,CT,6901,2035551818
60,20060,2026-03-11,2288.93,Broker event promo,3,Marketing,11,Nayeli,Robertson,Agent,nayelirobertson@dreamhomesnyc.com,2015550011,2,Jersey City Office,90 Hudson St,Jersey City,NJ,7302,2015551212
61,20061,2026-03-12,2313.58,electric bill,1,Utilities,38,Abner,Booth,Senior Agent,abnerbooth@dreamhomesnyc.com,9145550038,7,WHITE PLAINS OFFICE,10 Main St,White Plains,NY,10601,9145551717
62,20062,2026-03-13,1339.35,Gas service,1,Utilities,38,Abner,Booth,Senior Agent,abnerbooth@dreamhomesnyc.com,9145550038,7,White Plains Office,10 Main St,WHITE PLAINS,NY,10601,9145551717
63,20063,2026-03-14,264.41,Desk chairs,4,Office Supplies,59,Sergio,Harrison,Agent,sergioharrison@dreamhomesnyc.com,2035550059,10,New Haven Office,275 Chapel St,NEW HAVEN,CT,6510,2035552020
64,20064,2026-03-15,1153.57,Conference room cables,4,Office Supplies,23,Ellianna,Nixon,Agent,elliannanixon@dreamhomesnyc.com,609-555-0023,4,Princeton Office,55 Nassau St.,Princeton,NJ,8542,6095551414
65,20065,2026-03-16,2084.93,Carpet cleaning,2,Maintenance,38,Abner,Booth,Senior Agent,abnerbooth@dreamhomesnyc.com,9145550038,7,White Plains Office,10 Main St,White Plains,NY,10601,914-555-1717
66,20066,2026-03-17,5708.8,Monthly branch rent,5,Rent,23,Ellianna,Nixon,Agent,elliannanixon@dreamhomesnyc.com,609-555-0023,4,Princeton Office,55 Nassau St,Princeton,NJ,8542,6095551414
67,20067,2026-03-18,126.17,Printer toner,4,Office Supplies,38,Abner,Booth,Senior Agent,abnerbooth@dreamhomesnyc.com,9145550038,7,White Plains Office,10 Main St,White Plains,NY,10601,9145551717
68,20068,2026-03-19,1155.89,Water delivery,1,Utilities,47,Jaylah,Hodges,Agent,jaylahhodges@dreamhomesnyc.com,2035550047,8,Stamford Office,300 Atlantic St,STAMFORD,CT,6901,2035551818
69,20069,2026-03-20,1715.83,Internet overage,1,Utilities,23,Ellianna,Nixon,Agent,elliannanixon@dreamhomesnyc.com,609-555-0023,4,Princeton Office,55 Nassau St,PRINCETON,NJ,8542,6095551414
70,20070,2026-03-21,523.43,Photography flyers,3,Marketing,2,Bronson,McCullough,Senior Agent,bronsonmccullough@dreamhomesnyc.com,2015550002,1,Hoboken Office,123 River St,Hoboken,NJ,7030,2015551111
71,20071,2026-03-22,1406.16,Water delivery,1,Utilities,52,Thalia,Sierra,Agent,thaliasierra@dreamhomesnyc.com,203-555-0052,9,Greenwich Office,40 Field Point Rd,Greenwich,CT,6830,2035551919
72,20072,2026-03-23,472.88,Spring digital ads,3,Marketing,29,Reese,Chapman,Agent,reesechapman@dreamhomesnyc.com,2125550029,5,Chelsea Office,456 8th Ave,NEW YORK,NY,10001,2125551515
73,20073,2026-03-24,565.64,Breakroom supplies,4,Office Supplies,23,Ellianna,Nixon,Agent,elliannanixon@dreamhomesnyc.com,609-555-0023,4,Princeton Office,55 Nassau St,PRINCETON,NJ,8542,6095551414
74,20074,2026-03-25,1219.58,gas service,1,Utilities,11,Nayeli,Robertson,Agent,nayelirobertson@dreamhomesnyc.com,2015550011,2,JERSEY CITY OFFICE,90 Hudson St,Jersey City,NJ,7302,2015551212
75,20075,2026-03-26,2156.86,Spring digital ads,3,Marketing,59,Sergio,Harrison,Agent,sergioharrison@dreamhomesnyc.com,2035550059,10,New Haven Office,275 Chapel St,New Haven,CT,6510,2035552020
76,20076,2026-03-27,6751.86,Shared workspace fee,5,Rent,29,Reese,Chapman,Agent,reesechapman@dreamhomesnyc.com,2125550029,5,Chelsea Office,456 8th Ave,New York,NY,10001,2125551515
77,20077,2026-03-28,905.41,Conference room cables,4,Office Supplies,2,Bronson,McCullough,Senior Agent,bronsonmccullough@dreamhomesnyc.com,2015550002,1,Hoboken Office,123 River St.,Hoboken,NJ,7030,2015551111
78,20078,2026-03-29,5649.82,Shared workspace fee,5,Rent,15,Zaylee,Trejo,Agent,zayleetrejo@dreamhomesnyc.com,9735550015,3,Montclair Office,18 Bloomfield Ave,MONTCLAIR,NJ,7042,9735551313
79,20079,2026-03-30,649.71,Paint touch-up,2,Maintenance,15,Zaylee,Trejo,Agent,zayleetrejo@dreamhomesnyc.com,9735550015,3,Montclair Office,18 Bloomfield Ave,Montclair,NJ,7042,973-555-1313
80,20080,2026-03-31,1902.92,Neighborhood mailers,3,Marketing,38,Abner,Booth,Senior Agent,abnerbooth@dreamhomesnyc.com,9145550038,7,White Plains Office,10 Main St,White Plains,NY,10601,914-555-1717
81,20081,2026-04-01,2579.77,Office snacks,1,Utilities,23,Ellianna,Nixon,Agent,elliannanixon@dreamhomesnyc.com,609-555-0023,4,Princeton Office,55 Nassau St,Princeton,NJ,8542,6095551414
82,20082,2026-04-02,1432.94,Paint touch-up,2,Maintenance,52,Thalia,Sierra,Agent,thaliasierra@dreamhomesnyc.com,203-555-0052,9,Greenwich Office,40 Field Point Rd,Greenwich,CT,6830,203-555-1919
83,20083,2026-04-03,531.42,Printer toner,4,Office Supplies,52,Thalia,Sierra,Agent,thaliasierra@dreamhomesnyc.com,203-555-0052,9,Greenwich Office,40 Field Point Rd,Greenwich,CT,6830,2035551919
84,20084,2026-04-04,335.18,Breakroom supplies,4,Office Supplies,32,Titan,Griffin,Senior Agent,titangriffin@dreamhomesnyc.com,7185550032,6,Brooklyn Heights Office,200 Montague St,Brooklyn,NY,11201,718-555-1616
85,20085,2026-04-05,4007.04,Carpet cleaning,2,Maintenance,23,Ellianna,Nixon,Agent,elliannanixon@dreamhomesnyc.com,609-555-0023,4,Princeton Office,55 Nassau St,Princeton,NJ,8542,6095551414
86,20086,2026-04-06,209.54,Internet overage,1,Utilities,38,Abner,Booth,Senior Agent,abnerbooth@dreamhomesnyc.com,9145550038,7,White Plains Office,10 Main St,WHITE PLAINS,NY,10601,9145551717
87,20087,2026-04-07,1216.59,Office snacks,1,Utilities,15,Zaylee,Trejo,Agent,zayleetrejo@dreamhomesnyc.com,9735550015,3,Montclair Office,18 Bloomfield Ave,Montclair,NJ,7042,973-555-1313
88,20088,2026-04-08,3639.51,MLS premium placement,3,Marketing,32,Titan,Griffin,Senior Agent,titangriffin@dreamhomesnyc.com,7185550032,6,Brooklyn Heights Office,200 Montague St,Brooklyn,NY,11201,7185551616
89,20089,2026-04-09,2159.21,Carpet cleaning,2,Maintenance,38,Abner,Booth,Senior Agent,abnerbooth@dreamhomesnyc.com,9145550038,7,White Plains Office,10 Main St,White Plains,NY,10601,9145551717
90,20090,2026-04-10,3300.34,carpet cleaning,2,Maintenance,11,Nayeli,Robertson,Agent,nayelirobertson@dreamhomesnyc.com,2015550011,2,JERSEY CITY OFFICE,90 Hudson St,Jersey City,NJ,7302,2015551212
91,20091,2026-04-11,1635.61,Spring digital ads,3,Marketing,38,Abner,Booth,Senior Agent,abnerbooth@dreamhomesnyc.com,9145550038,7,White Plains Office,10 Main St,White Plains,NY,10601,9145551717
92,20092,2026-04-12,201.77,Printer toner,4,Office Supplies,2,Bronson,McCullough,Senior Agent,bronsonmccullough@dreamhomesnyc.com,2015550002,1,Hoboken Office,123 River St,Hoboken,NJ,7030,2015551111
93,20093,2026-04-13,6868.93,Shared workspace fee,5,Rent,23,Ellianna,Nixon,Agent,elliannanixon@dreamhomesnyc.com,609-555-0023,4,Princeton Office,55 Nassau St,Princeton,NJ,8542,609-555-1414
94,20094,2026-04-14,877.49,Electric bill,1,Utilities,59,Sergio,Harrison,Agent,sergioharrison@dreamhomesnyc.com,2035550059,10,New Haven Office,275 Chapel St,New Haven,CT,6510,2035552020
95,20095,2026-04-15,1122.56,Breakroom supplies,4,Office Supplies,15,Zaylee,Trejo,Agent,zayleetrejo@dreamhomesnyc.com,9735550015,3,Montclair Office,18 Bloomfield Ave,Montclair,NJ,7042,9735551313
96,20096,2026-04-16,6617.52,Storage room lease,5,Rent,2,Bronson,McCullough,Senior Agent,bronsonmccullough@dreamhomesnyc.com,2015550002,1,Hoboken Office,123 River St,Hoboken,NJ,7030,2015551111
97,20097,2026-04-17,1532.13,Office snacks,1,Utilities,29,Reese,Chapman,Agent,reesechapman@dreamhomesnyc.com,2125550029,5,Chelsea Office,456 8th Ave,New York,NY,10001,2125551515
98,20098,2026-04-18,1255.89,Light bulbs,2,Maintenance,38,Abner,Booth,Senior Agent,abnerbooth@dreamhomesnyc.com,9145550038,7,White Plains Office,10 Main St,White Plains,NY,10601,9145551717
99,20099,2026-04-19,3559.73,Broker event promo,3,Marketing,59,Sergio,Harrison,Agent,sergioharrison@dreamhomesnyc.com,2035550059,10,New Haven Office,275 Chapel St,New Haven,CT,6510,2035552020
100,20100,2026-03-01,1925.17,Paint touch-up,2,Maintenance,32,Titan,Griffin,Senior Agent,titangriffin@dreamhomesnyc.com,7185550032,6,Brooklyn Heights Office,200 Montague St,Brooklyn,NY,11201,7185551616
101,20101,2026-03-02,662.94,HVAC tune up,2,Maintenance,29,Reese,Chapman,Agent,reesechapman@dreamhomesnyc.com,2125550029,5,Chelsea Office,456 8th Ave,New York,NY,10001,2125551515
102,20102,2026-03-03,1890.29,internet overage,1,Utilities,15,Zaylee,Trejo,Agent,zayleetrejo@dreamhomesnyc.com,9735550015,3,MONTCLAIR OFFICE,18 Bloomfield Ave,Montclair,NJ,7042,9735551313
103,20103,2026-03-04,9180.29,Storage room lease,5,Rent,38,Abner,Booth,Senior Agent,abnerbooth@dreamhomesnyc.com,9145550038,7,White Plains Office,10 Main St.,White Plains,NY,10601,9145551717
104,20104,2026-03-05,209.1,Internet overage,1,Utilities,32,Titan,Griffin,Senior Agent,titangriffin@dreamhomesnyc.com,7185550032,6,Brooklyn Heights Office,200 Montague St,Brooklyn,NY,11201,7185551616
105,20105,2026-03-06,550.54,Paper order,4,Office Supplies,47,Jaylah,Hodges,Agent,jaylahhodges@dreamhomesnyc.com,2035550047,8,Stamford Office,300 Atlantic St,Stamford,CT,6901,2035551818
106,20106,2026-03-07,4151.67,HVAC tune up,2,Maintenance,29,Reese,Chapman,Agent,reesechapman@dreamhomesnyc.com,2125550029,5,Chelsea Office,456 8th Ave,New York,NY,10001,2125551515
107,20107,2026-03-08,138.43,Internet overage,1,Utilities,29,Reese,Chapman,Agent,reesechapman@dreamhomesnyc.com,2125550029,5,Chelsea Office,456 8th Ave,New York,NY,10001,212-555-1515
108,20108,2026-03-09,418.38,Office snacks,1,Utilities,11,Nayeli,Robertson,Agent,nayelirobertson@dreamhomesnyc.com,2015550011,2,Jersey City Office,90 Hudson St.,Jersey City,NJ,7302,2015551212
109,20109,2026-03-10,7379.71,Shared workspace fee,5,Rent,47,Jaylah,Hodges,Agent,jaylahhodges@dreamhomesnyc.com,2035550047,8,Stamford Office,300 Atlantic St,Stamford,CT,6901,2035551818
110,20110,2026-03-11,8674.46,Shared workspace fee,5,Rent,47,Jaylah,Hodges,Agent,jaylahhodges@dreamhomesnyc.com,2035550047,8,Stamford Office,300 Atlantic St,Stamford,CT,6901,203-555-1818
111,20111,2026-03-12,5660.21,Monthly branch rent,5,Rent,2,Bronson,McCullough,Senior Agent,bronsonmccullough@dreamhomesnyc.com,2015550002,1,Hoboken Office,123 River St,HOBOKEN,NJ,7030,2015551111
112,20112,2026-03-13,4028.14,Light bulbs,2,Maintenance,23,Ellianna,Nixon,Agent,elliannanixon@dreamhomesnyc.com,609-555-0023,4,Princeton Office,55 Nassau St,Princeton,NJ,8542,6095551414
113,20113,2026-03-14,5314.02,Storage room lease,5,Rent,59,Sergio,Harrison,Agent,sergioharrison@dreamhomesnyc.com,2035550059,10,New Haven Office,275 Chapel St,New Haven,CT,6510,2035552020
114,20114,2026-03-15,1161.23,Neighborhood mailers,3,Marketing,38,Abner,Booth,Senior Agent,abnerbooth@dreamhomesnyc.com,9145550038,7,White Plains Office,10 Main St.,White Plains,NY,10601,9145551717
115,20115,2026-03-16,219.45,Desk chairs,4,Office Supplies,11,Nayeli,Robertson,Agent,nayelirobertson@dreamhomesnyc.com,2015550011,2,Jersey City Office,90 Hudson St.,Jersey City,NJ,7302,2015551212
116,20116,2026-03-17,360.76,Conference room cables,4,Office Supplies,15,Zaylee,Trejo,Agent,zayleetrejo@dreamhomesnyc.com,9735550015,3,Montclair Office,18 Bloomfield Ave,MONTCLAIR,NJ,7042,9735551313
117,20117,2026-03-18,957.42,Breakroom supplies,4,Office Supplies,2,Bronson,McCullough,Senior Agent,bronsonmccullough@dreamhomesnyc.com,2015550002,1,Hoboken Office,123 River St,Hoboken,NJ,7030,201-555-1111
118,20118,2026-03-19,1750.08,Electric bill,1,Utilities,52,Thalia,Sierra,Agent,thaliasierra@dreamhomesnyc.com,203-555-0052,9,Greenwich Office,40 Field Point Rd,Greenwich,CT,6830,203-555-1919
119,20119,2026-03-20,9665.18,Monthly branch rent,5,Rent,38,Abner,Booth,Senior Agent,abnerbooth@dreamhomesnyc.com,9145550038,7,White Plains Office,10 Main St,WHITE PLAINS,NY,10601,9145551717
120,20120,2026-03-21,9937.17,Monthly branch rent,5,Rent,15,Zaylee,Trejo,Agent,zayleetrejo@dreamhomesnyc.com,9735550015,3,Montclair Office,18 Bloomfield Ave,Montclair,NJ,7042,9735551313
121,20121,2026-03-22,1629.95,Office snacks,1,Utilities,11,Nayeli,Robertson,Agent,nayelirobertson@dreamhomesnyc.com,2015550011,2,Jersey City Office,90 Hudson St,Jersey City,NJ,7302,2015551212
122,20122,2026-03-23,1577.66,HVAC tune up,2,Maintenance,52,Thalia,Sierra,Agent,thaliasierra@dreamhomesnyc.com,203-555-0052,9,Greenwich Office,40 Field Point Rd,Greenwich,CT,6830,2035551919
123,20123,2026-03-24,3160.14,Paint touch-up,2,Maintenance,2,Bronson,McCullough,Senior Agent,bronsonmccullough@dreamhomesnyc.com,2015550002,1,Hoboken Office,123 River St,HOBOKEN,NJ,7030,2015551111
124,20124,2026-03-25,1305.52,Electric bill,1,Utilities,59,Sergio,Harrison,Agent,sergioharrison@dreamhomesnyc.com,2035550059,10,New Haven Office,275 Chapel St,NEW HAVEN,CT,6510,2035552020
125,20125,2026-03-26,312.83,Water delivery,1,Utilities,52,Thalia,Sierra,Agent,thaliasierra@dreamhomesnyc.com,203-555-0052,9,Greenwich Office,40 Field Point Rd,GREENWICH,CT,6830,2035551919
126,20126,2026-03-27,6592.17,Shared workspace fee,5,Rent,32,Titan,Griffin,Senior Agent,titangriffin@dreamhomesnyc.com,7185550032,6,Brooklyn Heights Office,200 Montague St,Brooklyn,NY,11201,7185551616
